N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
16384,2048,1,1,1,34052384,42,21978482.187348239
16384,2048,1,1,2,34261583,42,21978482.187348239
16384,2048,1,1,3,34063759,42,21978482.187348239
16384,2048,1,1,4,34046293,42,21978482.187348239
16384,2048,1,1,5,34236623,42,21978482.187348239
16384,2048,1,1,6,34048478,42,21978482.187348239
16384,4096,1,2,1,69759245,42,44120056.654433712
16384,4096,1,2,2,69397435,42,44120056.654433712
16384,4096,1,2,3,69659930,42,44120056.654433712
16384,4096,1,2,4,70648805,42,44120056.654433712
16384,4096,1,2,5,69420754,42,44120056.654433712
16384,4096,1,2,6,71243136,42,44120056.654433712
16384,512,1,3,1,8632845,42,5365761.8426366011
16384,512,1,3,2,8408843,42,5365761.8426366011
16384,512,1,3,3,8623278,42,5365761.8426366011
16384,512,1,3,4,8552982,42,5365761.8426366011
16384,512,1,3,5,8516607,42,5365761.8426366011
16384,512,1,3,6,8614932,42,5365761.8426366011
16384,256,1,4,1,4137692,42,2602783.1043406166
16384,256,1,4,2,4288048,42,2602783.1043406166
16384,256,1,4,3,4182751,42,2602783.1043406166
16384,256,1,4,4,4254187,42,2602783.1043406166
16384,256,1,4,5,4161644,42,2602783.1043406166
16384,256,1,4,6,4145424,42,2602783.1043406166
16384,64,1,5,1,1044090,42,660083.65979530779
16384,64,1,5,2,1093085,42,660083.65979530779
16384,64,1,5,3,899938,42,660083.65979530779
16384,64,1,5,4,895891,42,660083.65979530779
16384,64,1,5,5,888135,42,660083.65979530779
16384,64,1,5,6,959628,42,660083.65979530779
16384,1024,1,6,1,17406969,42,10771937.672788229
16384,1024,1,6,2,17804737,42,10771937.672788229
16384,1024,1,6,3,17167928,42,10771937.672788229
16384,1024,1,6,4,17014869,42,10771937.672788229
16384,1024,1,6,5,17437902,42,10771937.672788229
16384,1024,1,6,6,17319724,42,10771937.672788229
16384,128,1,7,1,1990752,42,1284671.2712755087
16384,128,1,7,2,2078982,42,1284671.2712755087
16384,128,1,7,3,2013886,42,1284671.2712755087
16384,128,1,7,4,1960140,42,1284671.2712755087
16384,128,1,7,5,2027767,42,1284671.2712755087
16384,128,1,7,6,1950160,42,1284671.2712755087
16384,32,1,8,1,474181,42,352736.71994500834
16384,32,1,8,2,469420,42,352736.71994500834
16384,32,1,8,3,436205,42,352736.71994500834
16384,32,1,8,4,538669,42,352736.71994500834
16384,32,1,8,5,439234,42,352736.71994500834
16384,32,1,8,6,436530,42,352736.71994500834
16384,128,2,1,7,2331780,42,1284671.2712755087
16384,128,2,1,8,2354694,42,1284671.2712755087
16384,128,2,1,9,2329809,42,1284671.2712755087
16384,128,2,1,10,2040790,42,1284671.2712755087
16384,128,2,1,11,1930325,42,1284671.2712755087
16384,128,2,1,12,2059354,42,1284671.2712755087
16384,1024,2,2,7,17210300,42,10771937.672788229
16384,1024,2,2,8,17039194,42,10771937.672788229
16384,1024,2,2,9,17703260,42,10771937.672788229
16384,1024,2,2,10,17331902,42,10771937.672788229
16384,1024,2,2,11,17218606,42,10771937.672788229
16384,1024,2,2,12,17257161,42,10771937.672788229
16384,256,2,3,7,4417642,42,2602783.1043406166
16384,256,2,3,8,4326825,42,2602783.1043406166
16384,256,2,3,9,4265033,42,2602783.1043406166
16384,256,2,3,10,4193242,42,2602783.1043406166
16384,256,2,3,11,4339969,42,2602783.1043406166
16384,256,2,3,12,4383012,42,2602783.1043406166
16384,64,2,4,7,932897,42,660083.65979530779
16384,64,2,4,8,1103131,42,660083.65979530779
16384,64,2,4,9,898668,42,660083.65979530779
16384,64,2,4,10,890742,42,660083.65979530779
16384,64,2,4,11,885685,42,660083.65979530779
16384,64,2,4,12,890488,42,660083.65979530779
16384,32,2,5,7,449502,42,352736.71994500834
16384,32,2,5,8,411260,42,352736.71994500834
16384,32,2,5,9,446594,42,352736.71994500834
16384,32,2,5,10,415030,42,352736.71994500834
16384,32,2,5,11,446597,42,352736.71994500834
16384,32,2,5,12,437846,42,352736.71994500834
16384,4096,2,6,7,68971481,42,44120056.654433712
16384,4096,2,6,8,69338585,42,44120056.654433712
