N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
16384,2048,1,1,1,34052384,42,21978482.1873,0.034052384,481141.056086,985376882.864,1.01484012604,2.95613064859,7.88301506291
16384,2048,1,1,2,34261583,42,21978482.1873,0.034261583,478203.240055,979360235.632,1.02107474208,2.9380807069,7.83488188505
16384,2048,1,1,3,34063759,42,21978482.1873,0.034063759,480980.387396,985047833.388,1.01517912745,2.95514350016,7.8803826671
16384,2048,1,1,4,34046293,42,21978482.1873,0.034046293,481227.133891,985553170.209,1.01465860009,2.95665951063,7.88442536167
16384,2048,1,1,5,34236623,42,21978482.1873,0.034236623,478551.871194,980074232.205,1.02033087611,2.94022269661,7.84059385764
16384,2048,1,1,6,34048478,42,21978482.1873,0.034048478,481196.252003,985489924.102,1.01472371817,2.95646977231,7.88391939281
16384,4096,1,2,1,69759245,42,44120056.6544,0.069759245,234864.927222,962006741.902,1.03949375451,2.88602022571,7.69605393522
16384,4096,1,2,2,69397435,42,44120056.6544,0.069397435,236089.417426,967022253.776,1.03410236537,2.90106676133,7.73617803021
16384,4096,1,2,3,69659930,42,44120056.6544,0.06965993,235199.776974,963378286.484,1.03801384568,2.89013485945,7.70702629187
16384,4096,1,2,4,70648805,42,44120056.6544,0.070648805,231907.673456,949893830.476,1.05274923146,2.84968149143,7.59915064381
16384,4096,1,2,5,69420754,42,44120056.6544,0.069420754,236010.113056,966697423.079,1.03444984555,2.90009226924,7.73357938463
16384,4096,1,2,6,71243136,42,44120056.6544,0.071243136,229973.032069,941969539.353,1.06160545349,2.82590861806,7.53575631483
16384,512,1,3,1,8632845,42,5365761.84264,0.008632845,1897867.96821,971708399.722,1.02911531925,2.91512519917,7.77366719778
16384,512,1,3,2,8408843,42,5365761.84264,0.008408843,1948425.00924,997593604.733,1.00241219997,2.9927808142,7.98074883786
16384,512,1,3,3,8623278,42,5365761.84264,0.008623278,1899973.53675,972786450.814,1.02797484398,2.91835935244,7.78229160651
16384,512,1,3,4,8552982,42,5365761.84264,0.008552982,1915589.2062,980781673.573,1.01959490776,2.94234502072,7.84625338858
16384,512,1,3,5,8516607,42,5365761.84264,0.008516607,1923770.81624,984970657.916,1.01525866985,2.95491197375,7.87976526333
16384,512,1,3,6,8614932,42,5365761.84264,0.008614932,1901814.19888,973728869.827,1.02697992325,2.92118660948,7.78983095862
16384,256,1,4,1,4137692,42,2602783.10434,0.004137692,3959695.40507,1013682023.7,0.9865026474,3.04104607109,8.10945618959
16384,256,1,4,2,4288048,42,2602783.10434,0.004288048,3820852.75165,978138304.422,1.02235031128,2.93441491327,7.82510643538
16384,256,1,4,3,4182751,42,2602783.10434,0.004182751,3917039.28826,1002762057.79,0.997245550156,3.00828617338,8.02209646235
16384,256,1,4,4,4254187,42,2602783.10434,0.004254187,3851264.64822,985923749.943,1.01427721977,2.95777124983,7.88738999955
16384,256,1,4,5,4161644,42,2602783.10434,0.004161644,3936905.70361,1007847860.12,0.992213249207,3.02354358037,8.062782881
16384,256,1,4,6,4145424,42,2602783.10434,0.004145424,3952309.82404,1011791314.95,0.988346099854,3.03537394486,8.09433051963
16384,64,1,5,1,1044090,42,660083.659795,0.00104409,15692133.8199,1004296564.47,0.995721817017,3.01288969342,8.03437251578
16384,64,1,5,2,1093085,42,660083.659795,0.001093085,14988770.3152,959281300.173,1.04244709015,2.87784390052,7.67425040139
16384,64,1,5,3,899938,42,660083.659795,0.000899938,18205698.6148,1165164711.35,0.858247756958,3.49549413404,9.32131769077
16384,64,1,5,4,895891,42,660083.659795,0.000895891,18287939.0462,1170428098.95,0.854388237,3.51128429686,9.36342479163
16384,64,1,5,5,888135,42,660083.659795,0.000888135,18447645.9097,1180649338.22,0.846991539001,3.54194801466,9.44519470576
16384,64,1,5,6,959628,42,660083.659795,0.000959628,17073282.5637,1092690084.07,0.915172576904,3.27807025222,8.74152067259
16384,1024,1,6,1,17406969,42,10771937.6728,0.017406969,941232.215672,963821788.848,1.03753620386,2.89146536654,7.71057431078
16384,1024,1,6,2,17804737,42,10771937.6728,0.017804737,920204.550059,942289459.26,1.0612450242,2.82686837778,7.53831567408
16384,1024,1,6,3,17167928,42,10771937.6728,0.017167928,954337.646337,977241749.849,1.02328824997,2.93172524955,7.81793399879
16384,1024,1,6,4,17014869,42,10771937.6728,0.017014869,962922.48856,986032628.285,1.01416522264,2.95809788486,7.88826102628
16384,1024,1,6,5,17437902,42,10771937.6728,0.017437902,939562.568937,962112070.592,1.03937995434,2.88633621178,7.69689656474
